Branch,Talker,Event,Content,Key,Part
0,Manager,,첫 리그 경기 대비를 축하해,,
0,Manager,,빠르게 거점에 대해서만 설명해 줄게,,
0,,CameraMoveToStrategicPoint,2,,
0,,SetTimer,1,,
0,Manager,,여기 보이는게 거점이야,,
0,Manager,,저번에 설명했듯이#거점은 해당 거점 타일 위에서#턴을 보내는 것으로 점령 할 수 있어.,,
0,Manager,,또한 점령한 거점의 수에 따라 능력치가 증가하지.,,
0,,CameraMoveToStrategicPoint,0,,
0,,SetTimer,0.75,,
0,,CameraMoveToStrategicPoint,1,,
0,,SetTimer,0.75,,
0,,CameraMoveToStrategicPoint,3,,
0,,SetTimer,0.75,,
0,,CameraMoveToStrategicPoint,4,,
0,,SetTimer,0.75,,
0,,CameraMoveToStrategicPoint,2,,
0,,SetTimer,0.75,,
0,Manager,,경기장마다 보유한 거점의 수가 다르지만,,
0,Manager,,이 경기장에는 총 5개의 거점이 있어,,
0,Manager,,거점을 노릴지 아니면..#거점을 무시하고 다른 것을 노릴지는#모두 감독인 네 선택이야!,,
0,Manager,,자 이것으로 내 설명은 모두 끝났어.,,
0,Manager,,승리를 향한 첫걸음을 내딛어보자!,,
0,,SetTimer,1,,
0,,CameraMoveToTarget,Iris,,
0,,SetTimer,0.75,,
0,Iris,,반가워~#너희들 이번이 리그 첫 데뷔전이라며  ,,
0,Iris,,나도 이번이 첫 리그 데뷔전이야!,,
0,,CameraMoveToTarget,Ray,,
0,,SetTimer,0.75,,
0,Ray,,아이리스님 안녕하세요,,
0,Ray,,서로의 첫 데뷔전 후회를 남기지 않도록 최선을 다 해봅시다.,,
0,,CameraMoveToTarget,Iris,,
0,,SetTimer,0.75,,
0,Iris,,어?#그래도 되겠어?,,
0,Iris,,내가 최선을 다하면 재미없게 끝날텐데?,,
0,,CameraMoveToTarget,Ray,,
0,,SetTimer,0.75,,
0,Ray,,그렇네요.#저에게도 일방적으로 맞기만 하다가 패배하시는 아이리스님의 모습이 보이는군요.,,
0,Ray,,그리고 남은 시즌 내내 후보에서 머무시는 미래도 함께 보이고 있습니다.,,
0,,CameraMoveToTarget,Iris,,
0,,SetTimer,0.75,,
0,Iris,,하하하!#1군이 해체되어서 요행으로 프로 데뷔를 하게 된 것 치고는 자신감이 넘치는구나!,,
0,Iris,,좋아-! 아주 좋아!#그 배짱이 마음에 든다!,,
0,Iris,,이 언니께서 직접 격의 차이라는 것을 가르쳐주마!,,
