Branch,Talker,Event,Content,Key,Part
0,,CameraMoveToTarget,EnemyLeader,,
0,,SetTimer,1,,
0,Zabarnyi,SetEffectByName,3,,
0,Zabarnyi,,지금이다!#디버프 3종 콤보전략의 맛을 봐라!,,
0,,SetAllPlayerCharacterEffect,18,,
0,,SetTimer,1,,
0,,CameraMoveToTarget,Ray,,
0,,SetTimer,1,,
0,Ray,,이런... 당했군요.,,
0,Manager,,아군이 적의 디버프 스킬에 당해버렸어!,,
0,Manager,,캐릭터에 마우스를 오버레이 했을 때#내려간 능력치는 파란색으로#올라간 능력치는 빨간색으로 나타나!,,
0,Manager,,또한 상태이상 아이콘과 상태이상이 남은 턴 수도 표기되지.,,
0,Ray,,모두들 저에게 생각이 있으니 앞으로 1턴만 버텨주세요.,,
0,Manager,,레이가 생각이 있어보이니까 앞으로 1턴 버텨보자!,,
