Branch,Talker,Event,Content,Key,Part
0,,ChangeBGM,BeforeBattle,,start
0,,ChangeBackground,Training,,
0,Manager,AddTalker,1,,
0,Manager,,드디어 첫 리그 경기 날이야!,,
0,Manager,,다들 기념적인 첫 경기를#승리로 장식할 준비됐지?,,
0,,SetTalkWindowActiveFalse,,,
0,,RemoveTalker,1,,
0,Ray,AddTalker,1,,
0,Ria,AddTalker,0,,
0,Karl,AddTalker,2,,
0,,SetTimer,0.75,,
0,Ria,ChangeFace,3,,
0,Ria,,네! 네! 준비 만전이에요~! ,,
0,Karl,,몰론이지!,,
0,,SetTalkWindowActiveFalse,,,
0,,TalkerBack,,,
0,,SetTimer,0.5,,
0,,RemoveTalker,0,,
0,,RemoveTalker,2,,
0,Marilyn,AddTalker,0,,
0,Marzen,AddTalker,2,,
0,,SetTimer,0.5,,
0,Marilyn,,이건 비밀인데... 저는 사실 늘 준비가 되어 있어요!,,
0,Marilyn,ChangeFace,5,,
0,Marilyn,,마르젠 컨디션은?,,
0,Marzen,,최고입니다!,,
0,,SetTalkWindowActiveFalse,,,
0,,RemoveTalker,0,,
0,,RemoveTalker,2,,
0,,SetTimer,0.75,,
0,Ray,,여러분 리그 우승을 위하여 첫 경기 꼭 이깁시다!,,
0,,ChangeBGM,BattleWithIris,,
0,,GoNextBattleScene,,,end
,,,,,
0,,ChangeBGM,BattleWithIris,,battleEnd
0,,ChangeBackground,Training,,
0,Iris,AddTalker,2,,
0,Ray,AddTalker,0,,
0,Iris,ChangeFace,1,,
0,Iris,,제법이네,,
0,Iris,ChangeFace,2,,
0,Iris,,하지만 그것도 여기까지야!,,
0,,PlaySE,UseMagic,,
0,Iris,,이거나 받아라!,,
0,Ray,,독과 마비는 저에게 통하지 않습니다.,,
0,Ray,ChangeFace,1,,
0,,PlaySE,MindControll,,
0,Ray,,마인드컨트롤,,
0,Iris,ChangeFace,1,,
0,Iris,,한 순간에 모두를 냉정 상태로 만들었다고?,,
0,Ray,,아이리스님 격의 차이를 가르쳐주신다고 하셨나요?,,
0,Ray,,위기의 순간에 모두를 동요하지 않고 냉정하게 만들어주는 이 능력이야 말로 ,,
0,Ray,,격의 차이라는 겁니다!,,
0,,StopBGM,,,
0,,SetTalkWindowActiveFalse,,,
0,,FadeOut,0.5,,
0,,SetTimer,0.75,,
0,Iris,ChangeFace,3,,
0,,FadeIn,0.5,,
